file,title_len,desc_len,h1_count,h1_overlap,h2_count,first_p_len,internal_links,img_count,img_missing_alt,issues,title,desc,h1,first_p
brand-comparison.html,59,128,1,11,21,302,11,0,0,OK,亞立詩 vs I-PRIMO vs Mabelle｜2026 台灣 5 大鑽戒品牌實測比較,"台灣 5 大鑽戒品牌實測 — 亞立詩、I-PRIMO、銀座白石、Mabelle、Just Diamond。同 4C 鑽石價差 60%,2026 完整 PTT/D…",亞立詩 vs I-PRIMO vs 銀座白石 — 台灣 5 大鑽戒品牌完整比較,"台灣鑽戒市場有個公開的祕密 — 同樣 4C 等級的 1 克拉鑽石,五家主流品牌的售價可以差超過 60% 。便宜的不一定差…"
budget-formula.html,43,124,1,12,17,258,8,0,0,OK,30萬以下挑最閃鑽石的數學公式｜NT$ 預算最佳化,同樣 NT$30 萬，買對和買錯的鑽石光學分數差 25%。用 4Cs 拆數學算出 Tolkowsky 標準切磨，告訴你每一塊錢應該花在哪一 C。線上免費試算。,30 萬以下 挑最閃鑽石的數學公式,大多數人在預算限制下，習慣先決定克拉，再從剩下預算選顏色與淨度。 但這是最不划算的順序。 實測下，30 萬預算如果先固定…
cert-comparison.html,44,106,1,6,20,67,7,0,0,OK,GIA vs IGI vs HRD vs AGS｜哪一張證書最值得信？,4 大鑽石證書實驗室嚴格度、價格、市佔率完整比較。培育鑽選 IGI、天然鑽選 GIA？AGS 跟 GIA 差在哪？哪些證書千萬別買。,鑽石證書比較 GIA vs IGI vs HRD vs AGS,四大實驗室的市佔率、嚴謹度、價格差距： 用 BrillianceLab 計算器先算分 。
dating-duration.html,48,129,1,16,12,145,10,0,0,OK,交往多久可以求婚？12 國數據 + 6 個信號 + 3 個警訊,Emory 大學研究：交往 3 年以上離婚率比交往 1 年低 50%。台灣 PTT/Dcard 平均 2-4 年。6 個求婚信號、3 個過早警訊、無關時間長短的…,交往多久可以求婚？ 12 國數據 × 6 個信號 × 3 個警訊,"根據各國婚禮業者統計（The Knot, 內政部, BrideBook UK, Mynavi Wedding），平均交往…"
dcard-ptt-recommendations.html,47,131,1,15,13,306,8,0,0,OK,2026 Dcard PTT 鑽戒推薦排行榜｜30 篇真實心得整理,整理 Dcard 與 PTT 婚戒板過去 1 年 30 篇真實心得 — 哪些品牌被罵翻？哪些網友推爆？亞立詩、I-PRIMO、Cartier、Just Diam…,2026 Dcard / PTT 鑽戒推薦排行榜 — 30 篇真實心得整理,「Dcard 鑽戒推薦」是台灣 Google 上熱門度排行前 5 的鑽戒搜尋詞。本文用人工方式統計了 2024 年 1 …
destination-wedding.html,42,114,1,13,12,197,12,0,0,OK,異國婚禮鑽石採購｜峇里、京都、紐約、巴黎省 30%,海外婚禮 = 蜜月 + 婚禮一起辦。NT$30-150 萬辦 20-50 人。6 大目的地實價、12-18 個月籌備清單、隱藏成本 5 種、台灣補請流程。,異國婚禮鑽石採購指南 巴里、京都、紐約、巴黎 6 大目的地,1 ct G-VS1 鑽戒當地店家 NT$25-35 萬，但 幾乎都沒有 GIA 證書 ，假鑽混入率高。完整 真假鑽辨識…
diamond-1ct-price-2026.html,44,132,1,7,10,209,5,0,0,OK,1克拉鑽石價格 2026｜7萬到130萬，差 18 倍的真相,一克拉鑽石市價落在 NT$7-130 萬，差距高達 18 倍。教你用 4C 拆解價格、避開「品牌溢價陷阱」，2026 年最新行情 + 線上免費試算。看完不再被當…,2026 一克拉鑽石價格完整查表 — 從 NT$7 萬到 NT$130 萬,"「一克拉鑽石到底多少錢?」是 Google 上最熱門的鑽石搜尋之一。答案從 NT$7 萬到 NT$130 萬都對,差別在…"
diamond-4cs-cheatsheet.html,46,117,1,10,22,241,12,0,0,OK,鑽石 4C 是什麼？5 分鐘看懂顏色淨度切工克拉｜2026,鑽石 4C = Color、Clarity、Cut、Carat。哪一 C 不能省？哪一 C 是賣家溢價陷阱？5 分鐘一篇看懂，附完整等級對照表 + 線上免費試算…,鑽石 4C 懶人包 — 5 分鐘搞懂顏色淨度切工克拉怎麼選,"「鑽石 4C」是 Google 上最熱的鑽石搜尋詞之一,但網路上多數文章都把每一 C 寫成 800 字深度文,看完還是不…"
diamond-50-cents.html,50,138,1,3,16,248,6,0,0,OK,20-50分鑽戒推薦 2026｜NT$8-25萬，避開4個品牌溢價陷阱,20 分、30 分、50 分鑽戒到底差多少？台灣主流婚戒落在 0.2-0.5 克拉，售價 NT$8-25 萬。視覺尺寸對照、4C 最佳組合、踩雷品牌實名點名，2…,20-50 分鑽戒完整指南 — NT$8-25 萬最聰明的選擇,"網路上講鑽石的文章 90% 都在推「1 克拉以上」的高預算組合,但實際上 台灣 25-32 歲新人最常買的是 20-50…"
diamond-carat-size.html,44,130,1,8,18,143,8,0,0,OK,鑽石克拉視覺尺寸對照｜0.5、0.7、1克拉差多少 mm？,鑽石「克拉」是重量，不是尺寸。0.5 克拉與 1 克拉的視覺直徑只差 1.3 mm，但價格差 5 倍。完整尺寸對照圖、戴在手上大小比較、不同形狀的克拉換算。,鑽石克拉與視覺尺寸 實際 mm 對照,下圖是 圓形明亮式鑽石 從 0.30 ct 到 3.00 ct 的等比例直徑對照（以理想車工為基準）。可以列印出來貼在手…
